,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_rand_score,n_clusters,n_noise,nmi_language,purity_language,nmi_genre,purity_genre
beta_vae_8.0_kmeans,0.47816088795661926,5520.969193597144,0.5945413943329891,-0.0001248187087232084,10.0,0.0,0.004600634563432675,0.5345345345345346,0.022367697555478117,0.14014014014014015
beta_vae_4.0_kmeans,0.3686453402042389,603.8614895939977,0.9212333048362089,-0.0008387850604480953,10.0,0.0,0.002240052749638888,0.5255255255255256,0.033001975188265004,0.15315315315315314
conv_vae_dbscan,0.32636183500289917,12.819410460557739,0.6757266939233159,-1.697007639172212e-05,2.0,30.0,6.131912940864238e-09,0.500515995872033,0.0037313591828427046,0.13003095975232198
beta_vae_4.0_dbscan,0.3190593123435974,10.34528472416847,0.5572572332264141,-8.304440481749612e-06,2.0,19.0,0.0004871340513964454,0.5010204081632653,0.0037345267273820636,0.12857142857142856
basic_vae_dbscan,0.301806777715683,102.22821925582234,1.0194766051970072,-0.0015182968414781289,4.0,497.0,0.0005815623329063345,0.5179282868525896,0.01957012952602086,0.14741035856573706
beta_vae_1.0_dbscan,0.268982857465744,8.162484831838485,0.7456261139684399,8.549948211084876e-08,2.0,55.0,0.0005116158401703137,0.5021186440677966,0.0037069451108632475,0.1271186440677966
multimodal_kmeans,0.2211861657434852,252.0534503477334,1.6503146673664773,0.22968207125312026,10.0,0.0,0.4754315986882358,1.0,0.1734057983352729,0.16416416416416416
conv_vae_kmeans,0.21880899369716644,171.70847793718045,1.2985767156731733,0.0012735195195918885,10.0,0.0,0.003978917829599804,0.5475475475475475,0.023204626488774045,0.14614614614614616
beta_vae_1.0_kmeans,0.20477309823036194,172.86713463488215,1.4404290332234628,-0.00116277579395693,10.0,0.0,0.0012452883131505855,0.5215215215215215,0.024082378312387454,0.14614614614614616
basic_vae_kmeans,0.1874435991048813,117.57259572667411,1.5421401127446963,0.0022004655196337227,10.0,0.0,0.004837170710810836,0.5455455455455456,0.0268789255656116,0.15515515515515516
